Vulnerability Type,Description,Severity,Exploitability
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Medium
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,High
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Medium,Critical
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Low,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,High
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Medium,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,High
XSS Testing,Injected script that executed on multiple user sessions.,High,Critical
Session Management,Session did not expire properly after logout.,High,Medium
Access Control,Unauthorized users could access privileged actions.,Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,High,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Low,High
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,High,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Low
Access Control,Exploited weak access control rules in API endpoints.,High,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Low
XSS Testing,Injected script that executed on multiple user sessions.,Low,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,High,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Critical,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Medium,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Medium
XSS Testing,Injected script that executed on multiple user sessions.,High,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Critical
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
Access Control,Unauthorized users could access privileged actions.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Low,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Access Control,Bypassed access control to access restricted admin resources.,Low,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,High,High
Session Management,Session fixation vulnerability found in login mechanism.,Medium,Medium
Password Security,"No password complexity enforcement, allowing dictionary attacks.",High,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,High
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Low
Session Management,Session did not expire properly after logout.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,High
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Low,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Low
Access Control,Bypassed access control to access restricted admin resources.,Low,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,High
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,High
Password Security,Passwords stored using weak hashing algorithm.,High,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Medium
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Low,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,Critical,Critical
Session Management,Session did not expire properly after logout.,Medium,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,Low
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,Low
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Low
Automated Scanning,Found insecure HTTP methods enabled.,Medium,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,High,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Critical
Session Management,Session did not expire properly after logout.,High,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,High
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Critical
Access Control,Exploited weak access control rules in API endpoints.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,High
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Low,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,Critical,High
XSS Testing,Injected script that executed on multiple user sessions.,High,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Medium
Access Control,Bypassed access control to access restricted admin resources.,Low,High
Reconnaissance,Found outdated software versions during recon phase.,High,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Low
XSS Testing,Injected script that executed on multiple user sessions.,Medium,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Critical,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Critical
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Low,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Low,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Medium
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Low
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Low
Password Security,Passwords stored using weak hashing algorithm.,Critical,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,High,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Medium,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Access Control,Unauthorized users could access privileged actions.,Low,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Critical,Critical
Input Field Testing,Tested for buffer overflow by entering large payloads.,Low,Critical
Reconnaissance,Found outdated software versions during recon phase.,Critical,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,High
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Low
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,Critical,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Low,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Low
Session Management,Session did not expire properly after logout.,Low,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,Medium,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,High,Critical
Input Field Testing,Bypassed client-side validation using web proxies.,Low,Critical
Access Control,Exploited weak access control rules in API endpoints.,Critical,High
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Medium
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,Medium
Static Code Analysis,Discovered weak encryption algorithm in use.,Critical,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Medium,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Medium
Password Security,Passwords stored using weak hashing algorithm.,Critical,Medium
Automated Scanning,Found insecure HTTP methods enabled.,High,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,Critical
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Low
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Critical
Password Security,Passwords stored using weak hashing algorithm.,Critical,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,High
Reconnaissance,Found outdated software versions during recon phase.,Critical,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Low
Automated Scanning,Detected open ports with vulnerable services exposed.,Medium,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Medium
XSS Testing,Injected script that executed on multiple user sessions.,Critical,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Critical
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,Medium
Access Control,Unauthorized users could access privileged actions.,Medium,Low
Session Management,Session did not expire properly after logout.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Medium
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,Critical,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,High
Reconnaissance,Found outdated software versions during recon phase.,Medium,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Low
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Medium,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,High
Static Code Analysis,Discovered weak encryption algorithm in use.,High,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Low
Input Field Testing,Tested for buffer overflow by entering large payloads.,Medium,Low
Static Code Analysis,Improper input validation leading to potential code injection.,Critical,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Medium,High
Password Security,Passwords stored using weak hashing algorithm.,Medium,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Medium,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Medium,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,High
Access Control,Exploited weak access control rules in API endpoints.,Medium,High
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Low
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Automated Scanning,Found insecure HTTP methods enabled.,High,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Medium,Low
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Medium,Critical
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Low,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Critical,Low
Session Management,Session did not expire properly after logout.,Low,Low
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Critical,Medium
Access Control,Bypassed access control to access restricted admin resources.,High,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Critical,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,High
Static Code Analysis,Improper input validation leading to potential code injection.,Medium,Critical
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Critical
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,High,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,High
Database Vulnerabilities,Discovered exposed database query logs.,High,Critical
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Low
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,High
Static Code Analysis,Discovered weak encryption algorithm in use.,Medium,Critical
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Medium,Critical
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Low
Password Security,Passwords stored using weak hashing algorithm.,Low,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Low
Access Control,Exploited weak access control rules in API endpoints.,Critical,Low
Access Control,Exploited weak access control rules in API endpoints.,Low,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
Password Security,Weak password policy allowing easily guessable passwords.,Low,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Medium
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Medium,High
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Critical,Critical
Dynamic Analysis,Discovered reflected XSS vulnerability.,Low,Low
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,High
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,High
Session Management,Session did not expire properly after logout.,Critical,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,High,Low
Session Management,Session did not expire properly after logout.,High,High
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Medium,Medium
Automated Scanning,Detected open ports with vulnerable services exposed.,High,Critical
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Low,Critical
Access Control,Unauthorized users could access privileged actions.,Critical,High
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,High,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Low
Database Vulnerabilities,Discovered exposed database query logs.,Low,High
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Low,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Critical,Medium
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Medium,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,High
Dynamic Analysis,Exploited SQL Injection in user login form.,Critical,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Low
Automated Scanning,Found insecure HTTP methods enabled.,High,High
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Critical,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Medium
Reconnaissance,Found outdated software versions during recon phase.,Medium,Critical
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,High
Database Vulnerabilities,Discovered exposed database query logs.,Critical,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Medium
Session Management,Session did not expire properly after logout.,Medium,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",High,Low
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Medium
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Critical,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,High,Low
Automated Scanning,Found insecure HTTP methods enabled.,High,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Critical,Critical
Session Management,Session did not expire properly after logout.,Medium,Medium
Access Control,Bypassed access control to access restricted admin resources.,Medium,High
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Medium
Input Field Testing,Tested for buffer overflow by entering large payloads.,High,Medium
Static Code Analysis,Found API keys embedded in JavaScript files.,Medium,High
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Password Security,Passwords stored using weak hashing algorithm.,Low,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,High,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,High
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,Critical,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Low,Medium
Access Control,Exploited weak access control rules in API endpoints.,Low,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Critical
Session Management,Session fixation vulnerability found in login mechanism.,Critical,High
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,High
Session Management,Session fixation vulnerability found in login mechanism.,Critical,Critical
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Medium
Session Management,Session did not expire properly after logout.,Medium,Critical
Session Management,Reused session ID for unauthorized access.,Critical,Critical
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,High
Dynamic Analysis,Exploited SQL Injection in user login form.,High,Medium
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,High
Automated Scanning,Detected open ports with vulnerable services exposed.,Critical,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,High
Session Management,Reused session ID for unauthorized access.,Low,Medium
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Medium,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Critical
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Critical,Medium
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Low
Input Field Testing,Bypassed client-side validation using web proxies.,High,Medium
Session Management,Session fixation vulnerability found in login mechanism.,Low,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Critical,Medium
Password Security,Weak password policy allowing easily guessable passwords.,Low,Low
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Medium
Session Management,Reused session ID for unauthorized access.,Medium,Medium
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,High,Medium
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Medium
Password Security,Passwords stored using weak hashing algorithm.,Low,Critical
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",High,Critical
Automated Scanning,Found insecure HTTP methods enabled.,Low,Medium
Access Control,Unauthorized users could access privileged actions.,Medium,Low
Password Security,"No password complexity enforcement, allowing dictionary attacks.",Medium,Critical
XSS Testing,Injected script that executed on multiple user sessions.,Medium,Medium
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Critical,Low
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Low,High
